entry_id,library_id,source_lang,target_lang,source_term,target_term,current_validation_type,suggested_validation_type,classification_reason,confidence,reviewed_validation_type,review_note
1363,2,zh,en,(點檢)記錄表,Daily checklist,,,,,strict_required,
1364,2,zh,en,325 linear  CNC五軸複合加工機保養辦法,325 linear CNC five-axis complex machine maintain instruction,,,,,strict_required,
1365,2,zh,en,325 linear  CNC五軸複合加工機操作辦法,325 linear CNC five-axis complex machine operate instructionl,,,,,strict_required,
1366,2,zh,en,ACME自動打磨機保養辦法,ACME automatic grinding maintain instruction,,,,,strict_required,
1367,2,zh,en,AG400L&AG600L線切割機保養辦法,AG400L&AG600L wire cutter machine maintain instruction,,,,,strict_required,
1368,2,zh,en,AV350影像儀保養記錄表,AV350 projector maintenance record form,,,,,strict_required,
2196,2,zh,en,A製程,A process,,,,,strict_required,
2197,2,zh,en,BOM,BOM,,,,,strict_required,
2198,2,zh,en,B製程,B process,,,,,strict_required,
1372,2,zh,en,Cincom 走心車床保養辦法,Cincom lathe maintain instruction,,,,,strict_required,
2199,2,zh,en,CNC,CNC,,,,,strict_required,
1369,2,zh,en,CNC CMM 維護保養作業辦法,CNC CMM maintain instruction,,,,,strict_required,
1371,2,zh,en,CNC車床操作及保養辦法,CNC lathe operate and maintain instruction,,,,,strict_required,
1370,2,zh,en,CNC程式對照表,CNC programs list,,,,,strict_required,
1373,2,zh,en,Co-Cr-Mo 產品燒結後品質規範,Quality requirement for Co-Cr-Mo products sintered,,,,,strict_required,
1374,2,zh,en,Co-Cr-Mo 鍛造件品質規範,Quality requirement for Co-Cr-Mo forging,,,,,strict_required,
1375,2,zh,en,DCN通知單,DCN notice form,,,,,strict_required,
1380,2,zh,en,EasyFlow系統軟體確效作業辦法,Easyflow system software validation work instruction,,,,,strict_required,
2202,2,zh,en,EasyFlow模組說明,EasyFlow module description,,,,,strict_required,
1376,2,zh,en,ECN通知單,ECN notice form,,,,,strict_required,
1377,2,zh,en,ECR 申請單,ECR application form,,,,,strict_required,
1378,2,zh,en,EO滅菌品質協議書,EO sterilization quality agreement,,,,,strict_required,
2200,2,zh,en,EO與ECH殘留量評估,EO and ECH residuals evaluation,,,,,strict_required,
1379,2,zh,en,ERP系統軟體確效作業辦法,ERP system software validation work instruction,,,,,strict_required,
2201,2,zh,en,ERP模組說明,Description of ERP Modules,,,,,strict_required,
2203,2,zh,en,European Database on Medical Device (EUDAMED),European Database on Medical Device (EUDAMED),,,,,strict_required,
1381,2,zh,en,FA檢驗記錄表,FA inspection record form,,,,,strict_required,
2204,2,zh,en,Global Unique Device Identification Database,GUDID,,,,,strict_required,
1382,2,zh,en,GU-3250萬能外圓磨床保養辦法,GU-3250 Universal Cylindrical Grinding machine operate and maintain instruction,,,,,strict_required,
1383,2,zh,en,HD-CN-4520遠紅外線收縮包裝機操作及保養辦法,HD-CN-4520 far-infrared shrink packaging machine operate and maintain instruction,,,,,strict_required,
1384,2,zh,en,HH-411里式硬度計操作作業辦法,HH-411 Leeb hardness operate instruction,,,,,strict_required,
1385,2,zh,en,HT-1000A里式硬度計操作作業辦法,HT-1000A Leeb Hardness Tester operate and maintain instruction,,,,,strict_required,
1386,2,zh,en,IM-X影像測量儀保養記錄表,IM-X projector maintenance record form,,,,,strict_required,
2205,2,zh,en,Instruction for use (IFU),Instruction for use (IFU),,,,,strict_required,
1387,2,zh,en,JENOPTIK C8000輪廓儀校正、清潔保養及操作作業辦法,"JENOPTIK C8000 profilometer calibrate,cleaning,maintain operate instruction",,,,,strict_required,
315,2,zh,en,K型,K Type,,,,,strict_required,
2206,2,zh,en,LAL試劑,Limulus amebocyte lysate,,,,,strict_required,
1388,2,zh,en,LEADWELL T-7iM CNC車床保養辦法,LEADWELL T-7iM CNC lathe maintain instruction,,,,,strict_required,
1389,2,zh,en,LEADWELL T-8M CNC車床保養辦法,LEADWELL T-8M CNC lathe maintain instruction,,,,,strict_required,
1390,2,zh,en,LPC-4030W圓盤式泡殼包裝機操作及保養辦法,LPC-4030W tyvek sealing packaging machine operate and maintain instruction,,,,,strict_required,
1391,2,zh,en,LYM950清洗機操作及保養辦法,LYM950 washing machine operate and maintain instruction,,,,,strict_required,
1392,2,zh,en,L型全自動封口包裝機操作及保養辦法,L-block type full automatic sealing machine operate and maintain instruction,,,,,strict_required,
