source_term,target_term,suggested_type,reason
(點檢)記錄表,Daily checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
325 linear  CNC五軸複合加工機保養辦法,325 linear CNC five-axis complex machine maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
325 linear  CNC五軸複合加工機操作辦法,325 linear CNC five-axis complex machine operate instructionl,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
ACME自動打磨機保養辦法,ACME automatic grinding maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
AG400L&AG600L線切割機保養辦法,AG400L&AG600L wire cutter machine maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
AV350影像儀保養記錄表,AV350 projector maintenance record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
A製程,A process,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
BOM,BOM,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
B製程,B process,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
CNC,CNC,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
CNC CMM 維護保養作業辦法,CNC CMM maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
CNC程式對照表,CNC programs list,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
CNC車床操作及保養辦法,CNC lathe operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Cincom 走心車床保養辦法,Cincom lathe maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Co-Cr-Mo 產品燒結後品質規範,Quality requirement for Co-Cr-Mo products sintered,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Co-Cr-Mo 鍛造件品質規範,Quality requirement for Co-Cr-Mo forging,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
DCN通知單,DCN notice form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
ECN通知單,ECN notice form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
ECR 申請單,ECR application form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
EO滅菌品質協議書,EO sterilization quality agreement,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
EO與ECH殘留量評估,EO and ECH residuals evaluation,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
ERP模組說明,Description of ERP Modules,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
ERP系統軟體確效作業辦法,ERP system software validation work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
EasyFlow模組說明,EasyFlow module description,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
EasyFlow系統軟體確效作業辦法,Easyflow system software validation work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
European Database on Medical Device (EUDAMED),European Database on Medical Device (EUDAMED),strict_required,公司、主管機關、國家地區或資料庫正式名稱，應固定使用指定譯名
FA檢驗記錄表,FA inspection record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
GU-3250萬能外圓磨床保養辦法,GU-3250 Universal Cylindrical Grinding machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Global Unique Device Identification Database,GUDID,strict_required,公司、主管機關、國家地區或資料庫正式名稱，應固定使用指定譯名
HD-CN-4520遠紅外線收縮包裝機操作及保養辦法,HD-CN-4520 far-infrared shrink packaging machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
HH-411里式硬度計操作作業辦法,HH-411 Leeb hardness operate instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
HT-1000A里式硬度計操作作業辦法,HT-1000A Leeb Hardness Tester operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
IM-X影像測量儀保養記錄表,IM-X projector maintenance record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Instruction for use (IFU),Instruction for use (IFU),strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
JENOPTIK C8000輪廓儀校正、清潔保養及操作作業辦法,"JENOPTIK C8000 profilometer calibrate,cleaning,maintain operate instruction",strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
K型,K Type,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
LAL試劑,Limulus amebocyte lysate,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
LEADWELL T-7iM CNC車床保養辦法,LEADWELL T-7iM CNC lathe maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
LEADWELL T-8M CNC車床保養辦法,LEADWELL T-8M CNC lathe maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
LPC-4030W圓盤式泡殼包裝機操作及保養辦法,LPC-4030W tyvek sealing packaging machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
LYM950清洗機操作及保養辦法,LYM950 washing machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
L型全自動封口包裝機操作及保養辦法,L-block type full automatic sealing machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
M/C 銑床-三軸操作及保養辦法,3 axial milling machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
M/C 銑床-五軸操作及保養辦法,5-axial milling machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
M140X2 RD五軸立式車銑加工機保養辦法,MI40X2 RD five-axis vertical turning and lathes machine maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
M200Xd1 RD銑車複合加工機操作及保養辦法,M200Xd1 RD CNC Mill-Turn Multi-Tasking Machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
M641球面研磨機操作及保養辦法,M641 spherical milling machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
MCN申請/通知單,MCN notice from,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
MD-U1000C雷射刻印機操作及保養辦法,MD-U1000C laser marking machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
MD-V9920雷射刻印機操作及保養辦法,MD-V9920 laser marking machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
MD-X1520雷射刻印機操作及保養辦法,MD-X1520 laser marking machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Mitutoyo SJ-201表面粗度儀校正作業辦法,Mitutoyo SJ-201 surface roughness tester calibrate instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
ODM,ODM,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
OEM,OEM,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
PBM,PBM,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
PFMEA,PFMEA,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
PFMEA文件,PFMEA document,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
PH值,pH values,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
PH計量測值,pH meter,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
Pro500電解拋光機操作及保養辦法,Pro500electropolishing operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
R&R分析,repeatability and reproducibility analysis,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
